         10857816 function calls (10158985 primitive calls) in 16.977 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    40455    0.013    0.000    0.060    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typing\templates.py:1314(new_registrations)
     4429    0.013    0.000    0.043    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typing\context.py:586(_rate_arguments)
      978    0.013    0.000    0.036    0.000 C:\Users\viola\miniconda3\Lib\inspect.py:2368(_signature_from_function)
     1127    0.013    0.000    0.017    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\analysis.py:91(liveness)
    11672    0.013    0.000    0.018    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\errors.py:840(new_error_context)
    31190    0.013    0.000    0.013    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\cpu_options.py:123(<genexpr>)
  501/181    0.012    0.000    0.018    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\ir_utils.py:1563(build_definitions)
    24823    0.012    0.000    0.221    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\ir.py:608(list_vars)
     4128    0.012    0.000    0.055    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\base.py:352(install_registry)
      661    0.012    0.000    0.062    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typing\context.py:636(resolve_overload)
     1508    0.012    0.000    0.036    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\instructions.py:68(__init__)
      101    0.011    0.000    0.011    0.000 C:\Users\viola\OneDrive\Desktop\SoftEng\accelerating_lebwohllasher\LebwohlLasherNumba.py:188(get_order)
     6532    0.011    0.000    0.053    0.000 C:\Users\viola\AppData\Roaming\Python\Python312\site-packages\colorama\ansitowin32.py:49(isatty)
     6457    0.011    0.000    0.033    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\types.py:77(__call__)
4109/4041    0.011    0.000    0.062    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\types\abstract.py:61(__call__)
      516    0.011    0.000    0.442    0.001 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\cpu.py:60(load_additional_registries)
10761/10713    0.011    0.000    0.026    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\values.py:445(__init__)
11413/5099    0.010    0.000    0.017    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\ir_utils.py:457(visit_vars_inner)
     3119    0.010    0.000    0.044    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\cpu_options.py:122(encode)
     1214    0.010    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
      238    0.010    0.000    0.022    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\compiler_machinery.py:370(dependency_analysis)
    36192    0.010    0.000    0.015    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\utils.py:524(sublist_iterator)
     3784    0.010    0.000    0.032    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\instructions.py:459(descr)
    30726    0.010    0.000    0.010    0.000 {method 'acquire' of '_thread.RLock' objects}
23181/18626    0.010    0.000    0.027    0.000 <frozen abc>:121(__subclasscheck__)
     8191    0.010    0.000    0.011    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\values.py:860(__init__)
     1006    0.010    0.000    0.070    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typing\templates.py:879(make_overload_template)
    63341    0.010    0.000    0.010    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\event.py:148(is_end)
     8687    0.010    0.000    0.014    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typeinfer.py:916(__getitem__)
     2319    0.010    0.000    0.438    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\values.py:1172(descr)
  214/122    0.009    0.000    4.901    0.040 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\lowering.py:260(lower_block)
     8139    0.009    0.000    0.184    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\binding\module.py:220(__next__)
     3266    0.009    0.000    1.154    0.000 C:\Users\viola\AppData\Roaming\Python\Python312\site-packages\colorama\initialise.py:37(init)
     8357    0.009    0.000    0.013    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\controlflow.py:383(_dfs)
    16760    0.009    0.000    0.015    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\ir.py:384(__getattr__)
    95948    0.009    0.000    0.009    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\targetconfig.py:38(default)
