#=====================================================
# File created:        Mon-28-Oct-2024-at-11-06-39AM
# Size of lattice:     50x50
# Number of MC steps:  150
# Reduced temperature: 0.500
# Run time (s):        11.377197
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#================t====================================
   00125    0.4132   -8417.8543  0.3930 
   00126    0.4500   -8419.9480  0.3955 
   00127    0.4292   -8466.2470  0.4085 
   00128    0.4180   -8462.2384  0.4061 
   00129    0.4052   -8496.1681  0.4096 
   00130    0.4072   -8485.4463  0.4091 
   00131    0.4272   -8417.2755  0.4069 
   00132    0.4160   -8411.7324  0.4149 
   00133    0.4120   -8443.1933  0.4126 
   00134    0.4248   -8365.5606  0.4109 
   00135    0.4408   -8328.2079  0.4088 
   00136    0.4320   -8341.9298  0.4081 
   00137    0.4208   -8352.6269  0.4154 
   00138    0.4200   -8353.0604  0.4132 
   00139    0.4224   -8359.5035  0.4155 
   00140    0.4124   -8396.5930  0.4075 
   00141    0.4172   -8381.9416  0.4015 
   00142    0.4320   -8336.6903  0.3986 
   00143    0.4224   -8404.7218  0.3994 
   00144    0.4204   -8417.1716  0.3973 
   00145    0.4260   -8403.7899  0.3980 
   00146    0.4244   -8399.4653  0.3903 
   00147    0.3972   -8421.5428  0.3925 
   00148    0.4148   -8376.3088  0.3952 
   00149    0.4088   -8375.5924  0.3928 
   00150    0.4072   -8367.8363  0.3890 
